,Title,Location,Price,Link,Image,Info,BHK,Bathroom,Area,Locality,level_0,index
0,Furnished 2BHK U2nd f @ Car parking in Chander Vihar for rent,"Chander Vihar, Delhi",19500,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-750-sq-ft-in-chander-vihar-delhi-iid-1818437948,https://apollo.olx.in:443/v1/files/e3u394w5xdiq1-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 750 sqft,2.0,2.0,750.0,Chander Vihar,,
1,II DG REAL ESTATE II 2BHK SEMI FURNISHED NEAR METRO,"Ramesh Nagar, Delhi",32000,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-ramesh-nagar-delhi-iid-1820614161,https://apollo.olx.in:443/v1/files/ovicqcjuwsli2-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft,2.0,2.0,900.0,Ramesh Nagar,,
2,Giving on rent,"Kanwar Singh Nagar, Delhi",7000,https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-50-sq-ft-in-kanwar-singh-nagar-delhi-iid-1820720661,https://apollo.olx.in:443/v1/files/5pddza8ipqte2-IN/image;s=150x0;q=50;f=webp;,1 BHK - 2 Bathroom - 50 sqft,1.0,2.0,50.0,Kanwar Singh Nagar,,
3,2 BHK Fully Furnished Ground Floor for Rent,"Ramesh Nagar, Delhi",41999,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1001-sq-ft-in-ramesh-nagar-delhi-iid-1814000667,https://apollo.olx.in:443/v1/files/2e90ai4fxv5j1-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1001 sqft,2.0,2.0,1001.0,Ramesh Nagar,,
4,II DHRUV GOHRI II FULLY FURNISHED 2BHK WELL MAINTAINED,"Rajouri Garden, Delhi",37000,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-rajouri-garden-delhi-iid-1793288751,https://apollo.olx.in:443/v1/files/ohv5rk5ja2zp-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft,2.0,2.0,900.0,Rajouri Garden,,
5,II DG REAL ESTATE II 2BHK UPP GROUND & 1ST FLOOR AVAILABLE FOR RENT,"Ramesh Nagar, Delhi",34000,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-ramesh-nagar-delhi-iid-1785073223,https://apollo.olx.in:443/v1/files/i5qgfllzokwj3-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft,2.0,2.0,900.0,Ramesh Nagar,,
6,“2BHK Room for Rent – Nehal Vihar 110041”,"Uday Vihar, Delhi",8000,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-594-sq-ft-in-uday-vihar-delhi-iid-1820712043,https://apollo.olx.in:443/v1/files/plnvdvm2fskk2-IN/image;s=150x0;q=50;f=webp;,2 BHK - 1 Bathroom - 594 sqft,2.0,1.0,594.0,Uday Vihar,,
7,Location Kunwar singh nagar Nilothi More ( Nangloi Metro Station),"Nangloi, Delhi",7000,https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-1350-sq-ft-in-nangloi-delhi-iid-1820711729,https://apollo.olx.in:443/v1/files/jewf433f2vgx-IN/image;s=150x0;q=50;f=webp;,1 BHK - 1 Bathroom - 1350 sqft,1.0,1.0,1350.0,Nangloi,,
8,Dda flats shivaji enclave,"Shivaji Enclave, Delhi",6500,https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-50-sq-ft-in-shivaji-enclave-delhi-iid-1819606148,https://apollo.olx.in:443/v1/files/837c5yy4b28l1-IN/image;s=150x0;q=50;f=webp;,1 BHK - 1 Bathroom - 50 sqft,1.0,1.0,50.0,Shivaji Enclave,,
9,II DHRUV GOHRI REAL ESTATE II 3BHK LIFT / PARKING FURNISED FLOOR,"Ramesh Nagar, Delhi",45000,https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1250-sq-ft-in-ramesh-nagar-delhi-iid-1798030072,https://apollo.olx.in:443/v1/files/27iypin2nrdo3-IN/image;s=150x0;q=50;f=webp;,3 BHK - 3 Bathroom - 1250 sqft,3.0,3.0,1250.0,Ramesh Nagar,,
