Title,Location,Price,Link,Image,Info
II DHRUV GOHRI II LUXURIOUS 2BHK FULLY FURNISED GROUND FLOOR,"Rajouri Garden, Delhi","₹ 35,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-rajouri-garden-delhi-iid-1784309619,https://apollo.olx.in:443/v1/files/rzgnw3pbo4er1-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft
II DHRUV GOHRI II 2BHK WITH & W/O LIFT/PARKING ALL FLOORS AVAILABLE,"Ramesh Nagar, Delhi","₹ 30,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-ramesh-nagar-delhi-iid-1782163053,https://apollo.olx.in:443/v1/files/whf63l4kbz5a-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft
2bhk for rent in ramesh nagar in prime location,"Ramesh Nagar, Delhi","₹ 30,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-ramesh-nagar-delhi-iid-1818987794,https://apollo.olx.in:443/v1/files/v3lzo2x1vvo83-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1000 sqft
kp properties  2bhk for rent in rajouri garden prime location,"Rajouri Garden, Delhi","₹ 30,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-rajouri-garden-delhi-iid-1794672650,https://apollo.olx.in:443/v1/files/lhw6mjbiky0b-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1000 sqft
kp properties  2bhk for rent in ramesh nagar in prime location,"Tagore Garden, Delhi","₹ 33,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-tagore-garden-delhi-iid-1793981578,https://apollo.olx.in:443/v1/files/il232pov67u6-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1000 sqft
kp properties  3bhk for rent,"Ramesh Nagar, Delhi","₹ 50,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1500-sq-ft-in-ramesh-nagar-delhi-iid-1792858837,https://apollo.olx.in:443/v1/files/6dztiw3tdeec-IN/image;s=150x0;q=50;f=webp;,3 BHK - 3 Bathroom - 1500 sqft
II DHRUV GOHRI II 2BHK FURNISHED 40K UPP. 3RD FLOOR,"Ramesh Nagar, Delhi","₹ 40,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-ramesh-nagar-delhi-iid-1818772801,https://apollo.olx.in:443/v1/files/5x39bdgqxkya1-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft
2bhk for rent in ramesh nagar in park facing,"Ramesh Nagar, Delhi","₹ 35,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-ramesh-nagar-delhi-iid-1818985815,https://apollo.olx.in:443/v1/files/lmc4hb6ula6z1-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1000 sqft
kp properties  3bhk for rent in ramesh nagar in prime location,"Ramesh Nagar, Delhi","₹ 45,999",https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1500-sq-ft-in-ramesh-nagar-delhi-iid-1802029400,https://apollo.olx.in:443/v1/files/ojceavb84btd-ADVIN/image;s=150x0;q=50;f=webp;,3 BHK - 3 Bathroom - 1500 sqft
kp properties  2bhk for rent in ramesh nagar in gated society,"Ramesh Nagar, Delhi","₹ 22,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-ramesh-nagar-delhi-iid-1803066419,https://apollo.olx.in:443/v1/files/2o8yn31cjw8w2-ADVIN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1000 sqft
